item_id_final,principle,cz_wording_final_2023_2026,cz_wording_2022,match_2022,pool2021_id,id_2020B,cz_wording_2020B,match_2020B,id_2019A,cz_wording_2019A,match_2019A
1,Procedurální,Na začátku roku je pro mě důležité zřetelně stanovit pravidla fungování ve třídě.,Na začátku roku je pro mě důležité zřetelně stanovit pravidla fungování ve třídě.,exact,1,23.0,Učitel by měl na začátku roku zřetelně stanovit pravidla fungování ve třídě.,high(0.88),3.0,Učitel si na začátku roku zřetelně nastavuje pravidla fungování třídy,high(0.50)
2,Procedurální,"Žákům jasně vysvětlím, na co kladu důraz při ústním zkoušení.","Žákům jasně vysvětlím, na co kladu důraz při ústním zkoušení.",exact,2,4.0,"Učitel by měl žákům jasně vysvětlit, na co je při ústním zkoušení kladen důraz.",high(0.50),4.0,"Učitel žákům jasně vysvětlí, na co klade důraz při ústním zkoušení",high(0.50)
3,Rovnost,Věnuji každému žákovi stejné množství času při ústní zkoušce.,Věnuji každému žákovi stejné množství času při ústní zkoušce.,exact,4,6.0,"Učitel by měl při ústním zkoušení dávat pozor, aby každému žákovi věnoval stejné množství času.",confirmed-author(0.33),6.0,Učitel věnuje každému žákovi stejné množství času při ústní zkoušce,high(0.75)
4,Potřeby,"Pokud žák prochází obtížnou životní situací, jako je například rozvod rodičů a podobně, při hodnocení jeho situaci zohledňuji.","Pokud žák prochází obtížnou životní situací, jako je například rozvod rodičů a podobně, při hodnocení jeho situaci zohledňuji.",exact,5,7.0,"Pokud žák prochází obtížnou životní situací, jako je například rozvod rodičů, měl by to učitel při jeho hodnocení zohlednit.",high(0.79),,,
5,Potřeby,"Věnuji více péče žákovi, který to podle mě nejvíce potřebuje.","Věnuji více péče žákovi, který to podle mě nejvíce potřebuje.",exact,6,,,,8.0,"Učitel věnuje více péče žákovi, který to podle něj nejvíce potřebuje",high(0.62)
6,Procedurální,"Své žáky předem seznámím s tím, jakým způsobem řeším případné konflikty ve třídě.","Své žáky předem seznámím s tím, jakým způsobem řeším případné konflikty ve třídě.",exact,7,8.0,"Učitel by měl své žáky předem seznámit s tím, jakým způsobem bude řešit případné konflikty ve třídě.",high(0.64),9.0,"Učitel informuje své žáky, jakým způsobem řeší konflikty ve třídě",confirmed-author(0.46)
7,Procedurální,"Žákům sdělím, že mohou kdykoliv konzultovat nesrovnalosti ve vyhodnocení písemky.","Žákům sdělím, že mohou kdykoliv konzultovat nesrovnalosti ve vyhodnocení písemky.",exact,8,,,,10.0,"Učitel žákům sdělí, že mohou kdykoliv konzultovat nesrovnalosti ve vyhodnocení testů",high(0.56)
8,Procedurální,"Žákům předem oznamuji, jaká jsou kritéria pro hodnocení jejich písemných prací.","Žákům předem oznamuji, jaká jsou kritéria pro hodnocení jejich písemných prací.",exact,9,12.0,Učitel by měl žákům předem sdělit jednoznačná kritéria pro hodnocení jejich písemných prací.,high(0.60),11.0,"Učitel žákům jednoznačně sdělí, jaká jsou kritéria hodnocení jejich písemných prací",high(0.60)
9,Potřeby,"Při hodnocení zohledňuji, zda je pro konkrétního žáka předmět obtížný.","Při hodnocení zohledňuji, zda je pro konkrétního žáka předmět obtížný.",exact,10,11.0,"Učitel by měl při hodnocení zohlednit, zda je pro konkrétního žáka předmět obtížný.",high(0.75),12.0,"Učitel při hodnocení žáka přihlíží k tomu, zda je pro žáka předmět obtížný",high(0.56)
10,Rovnost,Věnuji problémům každého žáka stejnou míru pozornosti.,Věnuji problémům každého žáka stejnou míru pozornosti.,exact,11,13.0,Učitel by měl věnovat problémům každého žáka stejnou míru pozornosti.,high(0.75),,,
11,Potřeby,"Žákovi, který má dlouhodobý problém s pochopením učiva, zadávám jiné domácí úkoly než ostatním žákům.","Žákovi, který má dlouhodobý problém s pochopením učiva, zadávám jiné domácí úkoly než ostatním žákům.",exact,12,20.0,"Žákovi, který má dlouhodobý problém s pochopením učiva, by měl učitel zadávat jiné domácí úkoly než ostatním žákům.",high(0.82),,,
12,Zásluhy,"Žáky, kteří stihnou práci v hodině před termínem, oceňuji (například si žák může pracovat v hodině na svých věcech).","Žáky, kteří stihnou práci v hodině před termínem, oceňuji (například si žák může pracovat v hodině na svých věcech).",exact,13,,,,,,
13,Zásluhy,"Pokud žák během výuky splní úkol navíc, tak jeho snahu patřičně ocením.","Pokud žák během výuky splní úkol navíc, tak jeho snahu patřičně ocením.",exact,14,16.0,"Pokud žák během výuky splní úkol navíc, měl by učitel jeho snahu patřičně ocenit.",high(0.82),17.0,"Učitel odměňuje žáky, kteří splnili úkol navíc během výuky",confirmed-author(0.31)
14,Rovnost,Všem žákům věnuji stejnou míru pozornosti.,Všem žákům věnuji stejnou míru pozornosti.,exact,15,,,,18.0,Učitel všem žákům věnuje stejnou míru pozornosti,high(0.67)
15,Rovnost,Při hodnocení chování každého žáka používám vždy stejná kritéria.,Při hodnocení chování každého žáka používám vždy stejná kritéria.,exact,16,17.0,Učitel by měl při hodnocení výkonu každého žáka používat vždy stejná kritéria.,high(0.60),20.0,Učitel zachovává u každého žáka stejná kritéria v hodnocení jeho výkonu,confirmed-author(0.45)
16,Rovnost,Se všemi žáky se snažím zacházet stejně.,S některými žáky zacházím jinak než s ostatními.,old-wording,18,,,,,,
17,Potřeby,"Žákovi, který byl nemocný, dám čas navíc, aby se mohl látku doučit.","Žákovi, který byl nemocný, dám čas navíc, aby se mohl látku doučit.",exact,17,,,,21.0,"Učitel žákovi, který byl nemocný, odloží písemku do doby, než se stačí látku doučit",confirmed-author(0.31)
18,Potřeby,"Zpočátku bych přizpůsobil hodnocení žáka, který by přišel do třídy z jiné školy.","Zpočátku bych přizpůsobil hodnocení žáka, který by přišel do třídy z jiné školy.",exact,19,,,,,,
19,Zásluhy,Výjimečnou snahu žáka v hodině ocením odpovídajícím způsobem.,Výjimečnou snahu žáka v hodině ocením odpovídajícím způsobem.,exact,20,19.0,"Učitel by měl výjimečnou snahu žáka v hodině odpovídajícím způsobem ocenit, například pochvalou před celou třídou.",confirmed-author(0.46),,,
20,Zásluhy,"Oceňuji žáka, který úspěšně reprezentuje školu na vědomostní soutěži.","Oceňuji žáka, který úspěšně reprezentuje školu na vědomostní soutěži.",exact,21,,,,,,
