"metric","value"
"n_taxa","24"
"n_characters","16"
"n_coders","3"
"coders","opus (Anthropic) / gpt-5.5 (OpenAI) / glm-5.2 (Zhipu@e-INFRA)"
"kripp_alpha_overall","0.841"
"kripp_alpha_overall_note","legacy pooled diagnostic across heterogeneous feature state spaces; not interpreted; use E5_alpha_per_character.csv"
"kripp_alpha_char_min","0.255"
"kripp_alpha_char_below_.667","7"
"consensus_ties_allthree_differ","2"
"k_families","5"
"ARI_vs_families","0.257"
"NMI_vs_families","0.558"
"n_reliable_chars","9"
"dropped_chars_low_alpha","comparative; temporal; structure; equal_shares_default; voice; level; scope"
"ARI_vs_families_reliable_only","0.354"
"ARI_vs_families_alpha_weighted","0.359"
"contested_characters","voice(0.26); scope(0.30); structure(0.37); equal_shares_default(0.37); temporal(0.61); comparative(0.61); level(0.66)"
"offliers_vs_families","Merit/desert (equity); Fair equality of opportunity; Luck egalitarianism; Commutative justice; Recognition justice; Relational equality; Entitlement (libertarian) justice; Utilitarian justice"
"human_validation","DONE (2 human coders + 3 LLM)"
"val_alpha_human_human","0.777"
"val_alpha_all5_raters","0.776"
"val_alpha_3llm_pilot","0.814"
"val_jan_vs_consensus_alpha","0.772"
"val_colleague_vs_consensus_alpha","0.758"
"val_killswitch_pass","TRUE"
"val_alpha_note","legacy pooled-feature diagnostics; not interpreted in book; pilot described by exact-match pattern"
"second_lens_embedding","DONE (OpenAI text-embedding-3-large; character-free)"
"conv_dist_cor_pearson","0.485"
"conv_dist_cor_spearman","0.452"
"conv_cophenetic_r","0.454"
"conv_RF_norm","0.762"
"conv_ARI_char_vs_embed","0.328"
"conv_ARI_embed_vs_families","0.543"
